"area","files_read_count","files_read"
"layer-capture","15","layer/src/capture.h | layer/src/capture.cpp | layer/src/capture_common.h | layer/src/capture_common.cpp | layer/src/capture_backends.h | layer/src/dxgi_formats.h | layer/src/capture_d3d11.cpp | layer/src/capture_d3d12.cpp | layer/src/capture_vulkan.cpp | layer/src/pixel_convert.h | layer/src/pixel_convert.cpp | layer/src/hooks_capture.cpp | layer/src/layer_log.h | layer/tests/test_dxgi_formats.cpp | layer/tests/test_capture_common.cpp"
"layer-control","17","layer/src/control_channel.h | layer/src/control_channel.cpp | layer/src/layer_state.h | layer/src/layer_state.cpp | layer/src/action_registry.h | layer/src/action_registry.cpp | layer/src/input_inject.h | layer/src/input_inject.cpp | layer/src/layer_dispatch.h | layer/src/layer_dispatch.cpp | layer/src/layer_entry.cpp | layer/src/layer_log.h | layer/src/layer_log.cpp | layer/src/capture.h | layer/src/capture.cpp (partial, for CaptureStatusJson context) | layer/src/hooks_action.cpp (partial, for ApplyPendingInputs/ApplyFallbackSync dispatch confirmation only) | mcp/src/tools/input.ts (for vr_active/vr_reset doc cross-check)"
"layer-hooks","12","C:\programing\Arcadia-Metaverses-dev\CluadeDevelopment-VR-App\layer\src\hooks_action.h | C:\programing\Arcadia-Metaverses-dev\CluadeDevelopment-VR-App\layer\src\hooks_action.cpp | C:\programing\Arcadia-Metaverses-dev\CluadeDevelopment-VR-App\layer\src\hooks_capture.h | C:\programing\Arcadia-Metaverses-dev\CluadeDevelopment-VR-App\layer\src\hooks_capture.cpp | C:\programing\Arcadia-Metaverses-dev\CluadeDevelopment-VR-App\layer\src\hooks_locate.h | C:\programing\Arcadia-Metaverses-dev\CluadeDevelopment-VR-App\layer\src\hooks_locate.cpp | C:\programing\Arcadia-Metaverses-dev\CluadeDevelopment-VR-App\layer\src\input_inject.h | C:\programing\Arcadia-Metaverses-dev\CluadeDevelopment-VR-App\layer\src\input_inject.cpp (grep only, FallbackCurrentProfile impl) | C:\programing\Arcadia-Metaverses-dev\CluadeDevelopment-VR-App\layer\src\layer_state.h | C:\programing\Arcadia-Metaverses-dev\CluadeDevelopment-VR-App\layer\src\layer_dispatch.cpp | C:\programing\Arcadia-Metaverses-dev\CluadeDevelopment-VR-App\layer\src\control_channel.cpp (grep only, haptics usage) | C:\programing\Arcadia-Metaverses-dev\CluadeDevelopment-VR-App\.claude\refactor-plan.md (grep only, GAP-08 design notes)"
"layer-tests","19","layer/tests/test_action_helpers.cpp | layer/tests/test_capture_common.cpp | layer/tests/test_dxgi_formats.cpp | layer/tests/test_pixel_convert.cpp | layer/tests/test_pose_animator.cpp | layer/tests/test_pose_override_pure.cpp | layer/tests/test_xr_math.cpp | layer/src/capture_common.h | layer/src/capture_common.cpp | layer/src/pose_animator.h | layer/src/pose_animator.cpp | layer/src/dxgi_formats.h | layer/src/pose_override_pure.h | layer/src/xr_math.h | layer/src/pixel_convert.h | layer/src/pixel_convert.cpp | layer/src/action_registry.h | layer/src/action_registry.cpp | layer/CMakeLists.txt"
"tools-core","7","tools/playspectra_server.py | tools/playspectra_mcp.py | tools/playspectra_record.py | tools/playspectra_vrapp.py | tools/playspectra_png_stats.py | runtime/monado-playspectra/src/xrt/drivers/playspectra/playspectra_control.c (partial, for role_granted semantics) | layer/src/capture_common.cpp (partial, for PNG color-type confirmation)"
"tools-tests","16","tools/playspectra_vrapp_test.py | tools/playspectra_vrapp.py | tools/playspectra_multiobs_test.py | tools/playspectra_frame_test.py | tools/playspectra_reset_test.py | tools/playspectra_waitfor_test.py | tools/playspectra_capture_assert_test.py | tools/playspectra_math_test.py | tools/playspectra_mcp_verify.py | tools/playspectra_mcp.py | tools/playspectra_coupling_probe.py | tools/playspectra_headless_probe.c | tools/playspectra_action_probe.c | tools/playspectra_png_stats.py | tools/README.md | .claude/playspectra-m2-status.md"
"scripts-harness","19","scripts/lib_monado_stack.sh | scripts/run_all_tests.sh | scripts/env.sh | scripts/integration_test.sh | scripts/integration_openvr_test.sh | scripts/walking_skeleton_test.sh | scripts/head_test.sh | scripts/pose_test.sh | scripts/e2e_playwright_loop.sh | scripts/setup_monado.sh | scripts/run_hello_xr.sh | scripts/run_vrdevapp.sh | scripts/setup_hellovr.sh | scripts/setup_opencomposite.sh | scripts/setup_helloxr_msvc.sh | scripts/run_hello_xr_monado.sh | scripts/run_scenario_e2e_monado.sh | scripts/run_mcp_verify_monado.sh | scripts/run_vrapp_monado.sh"
"scripts-js","10","scripts/integration_hello_xr.mjs | scripts/integration_openvr.mjs | scripts/head_client.mjs | scripts/pose_client.mjs | scripts/inject_client.mjs | scripts/vrdevapp_client.mjs | scripts/integration_test.sh | scripts/integration_openvr_test.sh | scripts/run_vrdevapp.sh | .claude/harness/backlog.md"
"monado-driver","13","C:/programing/Arcadia-Metaverses-dev/CluadeDevelopment-VR-App/runtime/monado-playspectra/src/xrt/drivers/playspectra/playspectra_hmd.c | C:/programing/Arcadia-Metaverses-dev/CluadeDevelopment-VR-App/runtime/monado-playspectra/src/xrt/drivers/playspectra/playspectra_control.c | C:/programing/Arcadia-Metaverses-dev/CluadeDevelopment-VR-App/runtime/monado-playspectra/src/xrt/drivers/playspectra/playspectra_controller.c | C:/programing/Arcadia-Metaverses-dev/CluadeDevelopment-VR-App/runtime/monado-playspectra/src/xrt/drivers/playspectra/playspectra_state.h | C:/programing/Arcadia-Metaverses-dev/CluadeDevelopment-VR-App/runtime/monado-playspectra/src/xrt/drivers/playspectra/playspectra_state.c | C:/programing/Arcadia-Metaverses-dev/CluadeDevelopment-VR-App/runtime/monado-playspectra/src/xrt/drivers/playspectra/playspectra_proto.h | C:/programing/Arcadia-Metaverses-dev/CluadeDevelopment-VR-App/runtime/monado-playspectra/src/xrt/drivers/playspectra/playspectra_proto.c | C:/programing/Arcadia-Metaverses-dev/CluadeDevelopment-VR-App/runtime/monado-playspectra/src/xrt/drivers/playspectra/playspectra_proto_test.c | C:/programing/Arcadia-Metaverses-dev/CluadeDevelopment-VR-App/runtime/monado-playspectra/src/xrt/drivers/playspectra/playspectra_interface.h | C:/programing/Arcadia-Metaverses-dev/CluadeDevelopment-VR-App/runtime/monado-playspectra/src/xrt/compositor/null/null_compositor.c | C:/programing/Arcadia-Metaverses-dev/CluadeDevelopment-VR-App/runtime/monado-playspectra/src/xrt/targets/common/target_builder_playspectra.c | C:/programing/Arcadia-Metaverses-dev/CluadeDevelopment-VR-App/.claude/playspectra-device-core-spec.md | C:/programing/Arcadia-Metaverses-dev/CluadeDevelopment-VR-App/.claude/playspectra-m2-status.md"
"docs","21","README.md | CLAUDE.md | CLAUDE.local.md | .claude/playspectra-architecture.md | .claude/playspectra-device-core-spec.md | .claude/playspectra-m2-status.md | .claude/harness/backlog.md | .claude/rules/review-checklist.md | .claude/rules/native-win-interop.md | .claude/rules/setup-scripts.md | .claude/rules/build-cmake.md | mcp/src/math.test.ts | mcp/src/tools/recording.ts | tools/playspectra_waitfor_test.py | tools/playspectra_capture_assert_test.py | scripts/run_all_tests.sh | layer/CMakeLists.txt | runtime/monado-playspectra/src/xrt/targets/openxr/CMakeLists.txt | runtime/monado-playspectra/src/xrt/targets/cli/CMakeLists.txt | runtime/monado-playspectra/CMakeLists.txt | layer/src/control_channel.cpp"
